id,created_at,text
1051164160782942209,2018-10-13 17:34:00,FLOTUS: An unbelievable experience visiting the Great Pyramid and Sphinx in #Egypt last week. Thank you President Abdel Fattah Al Sisi\xe2\x80\xa6
1051136981978230784,2018-10-13 15:46:00,"FLOTUS: 2/2: In #Kenya visiting children at The Nest Children\xe2\x80\x99s Home impacted me greatly, &amp; I so enjoyed the cultural performance at Ke\xe2\x80\xa6"
1051135471936507904,2018-10-13 15:40:00,FLOTUS: 1/2: In #Kenya at  DSWT last week feeding orphaned baby elephants &amp; learning about conservation efforts while exploring beautif\xe2\x80\xa6
1051123155484446730,2018-10-13 14:51:03,Celebrating 243 years of our great  USNavy!
1050895643693211648,2018-10-12 23:47:00,FLOTUS: An amazing stop in the \xe2\x80\x9cwarm heart of Africa\xe2\x80\x9d last week. The staff&amp;children   Chipala Primary School were filled w/ enthusiasm\xe2\x80\xa6
1050879032051556352,2018-10-12 22:41:00,". FLOTUS spent the first week of October visiting Ghana, Malawi, Kenya, and Egypt, where she shared her message of\xe2\x80\xa6"
1050872902738952193,2018-10-12 22:16:38,"The GREAT football (and lacrosse) player, Jim Brown outside the West Wing of the  WhiteHouse. He is also a tremendous\xe2\x80\xa6"
1050843437296222214,2018-10-12 20:19:33,"b""First Lady Melania Trumps BE BEST initiative zeroes in on some of the biggest challenges facing children today. He\xe2\x80\xa6"
1050841031942529026,2018-10-12 20:10:00,People have no idea how hard Hurricane Michael has hit the great state of Georgia. I will be visiting both Florida and\xe2\x80\xa6
1050804292377042944,2018-10-12 17:44:00,IvankaTrump: Together we will end modern slavery. #EndTrafficking
1050782400211496964,2018-10-12 16:17:01,"Trump Administration accomplishments count: 289 across 18 categories\n\n""Capped by the confirmation of Brett Kavanaug\xe2\x80\xa6"
1050758740486565889,2018-10-12 14:43:00,femaregion4: FL: There are many sources of help after #Michael.
1050538790060810240,2018-10-12 00:09:00,"In the wake of Hurricane Michael, President Trump is committed to fully supporting state and local recovery efforts\xe2\x80\xa6"
1050524208378335233,2018-10-11 23:11:03,"President Trump was joined by  KidRock,  mercyme, Mike Love, and many more this morning as he signed the\xe2\x80\xa6"
